Date,60-day
11/9/2013, 0.3080 
10/9/2013, 0.3212 
9/9/2013, 0.3228 
6/9/2013, 0.3171 
5/9/2013, 0.3183 
4/9/2013, 0.3329 
3/9/2013, 0.3343 
2/9/2013, 0.3428 
30/8/2013, 0.3397 
29/8/2013, 0.3421 
28/8/2013, 0.3457 
27/8/2013, 0.3552 
26/8/2013, 0.3405 
23/8/2013, 0.3388 
22/8/2013, 0.3449 
21/8/2013, 0.3393 
20/8/2013, 0.3391 
19/8/2013, 0.3355 
16/8/2013, 0.3350 
15/8/2013, 0.3347 
14/8/2013, 0.3211 
13/8/2013, 0.3296 
12/8/2013, 0.3299 
9/8/2013, 0.3287 
8/8/2013, 0.3335 
7/8/2013, 0.3347 
6/8/2013, 0.3340 
5/8/2013, 0.3384 
2/8/2013, 0.3383 
1/8/2013, 0.3408 
31/7/2013, 0.3332 
30/7/2013, 0.3348 
29/7/2013, 0.3399 
26/7/2013, 0.3379 
25/7/2013, 0.3443 
24/7/2013, 0.3501 
23/7/2013, 0.3555 
22/7/2013, 0.3559 
19/7/2013, 0.3563 
18/7/2013, 0.3552 
17/7/2013, 0.3496 
16/7/2013, 0.3443 
15/7/2013, 0.3440 
12/7/2013, 0.3445 
11/7/2013, 0.3443 
10/7/2013, 0.3399 
9/7/2013, 0.3535 
8/7/2013, 0.3609 
5/7/2013, 0.3992 
4/7/2013, 0.3944 
3/7/2013, 0.3913 
2/7/2013, 0.3956 
1/7/2013, 0.3968 
28/6/2013, 0.3997 
27/6/2013, 0.3997 
26/6/2013, 0.3964 
25/6/2013, 0.3999 
24/6/2013, 0.3922 
21/6/2013, 0.3912 
20/6/2013, 0.3970 
19/6/2013, 0.3693 
18/6/2013, 0.3598 
17/6/2013, 0.3598 
14/6/2013, 0.3597 
13/6/2013, 0.3593 
12/6/2013, 0.3500 
11/6/2013, 0.3485 
10/6/2013, 0.3411 
7/6/2013, 0.3438 
6/6/2013, 0.3378 
5/6/2013, 0.3354 
4/6/2013, 0.3243 
3/6/2013, 0.3231 
31/5/2013, 0.3242 
30/5/2013, 0.3178 
29/5/2013, 0.3179 
28/5/2013, 0.3135 
27/5/2013, 0.3197 
24/5/2013, 0.3163 
23/5/2013, 0.3143 
22/5/2013, 0.3157 
21/5/2013, 0.3097 
20/5/2013, 0.3100 
17/5/2013, 0.3340 
16/5/2013, 0.3328 
15/5/2013, 0.3350 
14/5/2013, 0.3464 
13/5/2013, 0.3418 
10/5/2013, 0.3442 
9/5/2013, 0.3420 
8/5/2013, 0.3394 
7/5/2013, 0.3399 
6/5/2013, 0.3369 
3/5/2013, 0.3391 
2/5/2013, 0.3368 
1/5/2013, 0.3340 
30/4/2013, 0.3271 
29/4/2013, 0.3306 
26/4/2013, 0.3367 
25/4/2013, 0.3406 
24/4/2013, 0.3407 
23/4/2013, 0.3465 
22/4/2013, 0.3403 
19/4/2013, 0.3401 
18/4/2013, 0.3386 
17/4/2013, 0.3368 
16/4/2013, 0.3211 
15/4/2013, 0.3109 
12/4/2013, 0.2550 
11/4/2013, 0.2547 
10/4/2013, 0.2570 
9/4/2013, 0.2500 
8/4/2013, 0.2508 
5/4/2013, 0.2468 
4/4/2013, 0.2466 
3/4/2013, 0.2463 
2/4/2013, 0.2322 
1/4/2013, 0.2348 
29/3/2013, 0.2299 
28/3/2013, 0.2298 
27/3/2013, 0.2266 
26/3/2013, 0.2609 
25/3/2013, 0.2754 
22/3/2013, 0.2836 
21/3/2013, 0.2842 
20/3/2013, 0.2839 
19/3/2013, 0.2846 
18/3/2013, 0.2859 
15/3/2013, 0.2893 
14/3/2013, 0.2894 
13/3/2013, 0.2882 
12/3/2013, 0.2943 
11/3/2013, 0.2970 
8/3/2013, 0.2973 
7/3/2013, 0.3001 
6/3/2013, 0.3008 
5/3/2013, 0.3009 
4/3/2013, 0.2945 
1/3/2013, 0.2956 
28/2/2013, 0.2957 
27/2/2013, 0.2920 
26/2/2013, 0.2817 
25/2/2013, 0.2830 
22/2/2013, 0.2549 
