,Bond,TMI,TKA,OLE
Bond,1.0,-0.20547922072960592,-0.005322952204204753,0.05426146617786321
TMI,-0.20547922072960592,1.0,0.679991853173756,0.24678808439979558
TKA,-0.005322952204204753,0.679991853173756,1.0,0.260611931693767
OLE,0.05426146617786321,0.24678808439979558,0.260611931693767,1.0
