Month,Shibor
2007-01,1.495015
2007-02,2.3462733333333334
2007-03,1.5505090909090915
2007-04,2.419995238095238
2007-05,1.8205777777777779
2007-06,2.026938095238095
2007-07,2.165872727272727
2007-08,1.913086956521739
2007-09,2.9138349999999997
2007-10,2.7344444444444442
2007-11,2.0020545454545453
2007-12,1.885855
2008-01,1.9832181818181818
2008-02,2.2916125000000003
2008-03,2.084657142857143
2008-04,2.2890619047619047
2008-05,2.5203749999999996
2008-06,2.8183099999999994
2008-07,2.5076695652173915
2008-08,2.660942857142857
2008-09,2.7379
2008-10,2.503180000000001
2008-11,2.1523499999999998
2008-12,1.1229217391304347
2009-01,0.8559199999999999
2009-02,0.8215600000000001
2009-03,0.8035818181818182
2009-04,0.8066666666666665
2009-05,0.8098333333333333
2009-06,0.8736454545454546
2009-07,1.2526652173913042
2009-08,1.1570047619047619
2009-09,1.2047227272727274
2009-10,1.238175
2009-11,1.193690476190476
2009-12,1.179678260869565
2010-01,1.11511
2010-02,1.5320333333333334
2010-03,1.3475391304347826
2010-04,1.304409523809524
2010-05,1.68171
2010-06,2.2215842105263164
2010-07,1.6770999999999996
2010-08,1.5777727272727269
2010-09,1.8127842105263159
2010-10,1.5995499999999998
2010-11,1.7144590909090913
2010-12,2.8031260869565213
2011-01,3.9201450000000007
2011-02,2.5152933333333336
2011-03,1.809
2011-04,2.0857631578947373
2011-05,2.9530095238095235
2011-06,4.721919047619048
2011-07,4.350647619047619
2011-08,3.168095652173914
2011-09,3.4760238095238094
2011-10,3.44755625
2011-11,3.324477272727272
2011-12,2.9891909090909086
2012-01,4.489746666666667
2012-02,3.4305047619047624
2012-03,2.4726181818181816
2012-04,3.193970588235294
2012-05,2.1519636363636363
2012-06,2.769809999999999
2012-07,2.7182
2012-08,2.7431130434782607
2012-09,2.8992400000000003
2012-10,2.7376222222222224
2012-11,2.416204545454545
2012-12,2.3693714285714282
2013-01,2.1020650000000005
2013-02,2.8377933333333334
2013-03,2.3276238095238098
2013-04,2.4662555555555556
2013-05,2.921122727272727
2013-06,6.468176470588237
2013-07,3.3700434782608695
2013-08,3.219377272727273
2013-09,3.1505263157894734
2013-10,3.6157222222222223
2013-11,3.8866714285714283
2013-12,3.68339090909091
2014-01,3.3990999999999993
2014-02,2.76733125
2014-03,2.2760238095238097
2014-04,2.4776761904761906
2014-05,2.411755
2014-06,2.69834
2014-07,3.2097913043478257
2014-08,2.937190476190476
2014-09,2.7824999999999998
2014-10,2.495011111111111
2014-11,2.5376000000000003
2014-12,3.0243913043478265
2015-01,2.77865
2015-02,3.0539600000000005
2015-03,3.336518181818182
2015-04,2.283190476190476
2015-05,1.2084
2015-06,1.163
2015-07,1.2767739130434783
2015-08,1.684761904761905
2015-09,1.9092049999999996
2015-10,1.8748235294117648
2015-11,1.7857142857142854
2015-12,1.8407826086956522
2016-01,1.9787499999999998
2016-02,1.9756875
2016-03,1.9737391304347824
2016-04,2.0089150000000005
2016-05,2.0032999999999994
2016-06,2.014499999999999
2016-07,2.00947619047619
2016-08,2.0251999999999994
2016-09,2.1347049999999994
2016-10,2.2003125000000003
2016-11,2.251236363636364
2016-12,2.3002863636363635
2017-01,2.2013111111111114
2017-02,2.3545944444444444
2017-03,2.4892043478260875
2017-04,2.5642833333333335
2017-05,2.7459299999999995
2017-06,2.7774181818181827
2017-07,2.679628571428571
2017-08,2.821026086956522
2017-09,2.742066666666667
2017-10,2.6601941176470585
2017-11,2.7279181818181812
2017-12,2.672523809523809
