Month,Market
2007-01,18.6064240138331
2007-02,10.350122910861437
2007-03,12.000263974339243
2007-04,29.154446009859882
2007-05,10.032516895769694
2007-06,-8.783907926908906
2007-07,19.48749661402671
2007-08,15.611789140847709
2007-09,4.826679908390741
2007-10,-1.4492371373879709
2007-11,-14.531315174544524
2007-12,14.859034207454513
2008-01,-11.087935504071144
2008-02,3.424329356043354
2008-03,-19.115668840147947
2008-04,2.668025170105315
2008-05,-7.546832304915474
2008-06,-22.414807405538085
2008-07,3.0455231961990403
2008-08,-17.101068889979366
2008-09,-6.616516609538747
2008-10,-25.74862899769659
2008-11,12.637053757566164
2008-12,1.4628722997557464
2009-01,13.144123573430955
2009-02,5.7331828074874025
2009-03,18.38774091015074
2009-04,4.917993308158408
2009-05,5.417201457113463
2009-06,11.574045382115973
2009-07,16.251667871823948
2009-08,-21.213033418416504
2009-09,5.073807170370825
2009-10,9.36158791929962
2009-11,8.483137499147952
2009-12,2.9649181150660286
2010-01,-8.571801581944605
2010-02,3.0999694842707815
2010-03,2.5550184672956666
2010-04,-7.692672289044278
2010-05,-8.303086103710433
2010-06,-7.650611931057183
2010-07,11.866384340456682
2010-08,2.54079698601426
2010-09,1.0649263080366067
2010-10,12.009215124344209
2010-11,-4.245660919127814
2010-12,-0.8895030186581221
2011-01,-2.032928051556404
2011-02,5.3113636155169175
2011-03,0.190170375108778
2011-04,-1.3641957482069422
2011-05,-5.986213254623996
2011-06,2.4037830723389275
2011-07,-1.0225879085944523
2011-08,-4.590521901548305
2011-09,-8.87905544619606
2011-10,4.313668775888546
2011-11,-5.050242012244343
2011-12,-7.26238609873493
2012-01,3.241377816637958
2012-02,7.108963758800746
2012-03,-6.888076291433132
2012-04,5.909521280280816
2012-05,-0.0423439928049385
2012-06,-5.078762219550903
2012-07,-5.539331880271292
2012-08,-2.417729696605886
2012-09,2.390298400987767
2012-10,-0.9141843219317436
2012-11,-5.960039318352129
2012-12,15.042379459157363
2013-01,5.091668016048656
2013-02,1.2680402663881818
2013-03,-5.35915508732423
2013-04,-2.0890106033861766
2013-05,9.797990620059704
2013-06,-14.997738136432115
2013-07,3.762771925870423
2013-08,6.6020783024532514
2013-09,5.404836909606359
2013-10,-2.8042317796420524
2013-11,5.245033397032373
2013-12,-3.9460120334387283
2014-01,-1.1979240652556178
2014-02,0.8677201864691231
2014-03,-2.7917406664213384
2014-04,-0.7676470151784298
2014-05,1.4926925571268734
2014-06,3.0797125844680195
2014-07,8.57152140048063
2014-08,2.8302960759482687
2014-09,9.678469390247791
2014-10,2.073990196482556
2014-11,9.0157128204432
2014-12,11.237749816550968
2015-01,1.9661775815906557
2015-02,6.253234826200282
2015-03,18.78148815525551
2015-04,18.963746965526052
2015-05,15.044937964449566
2015-06,-10.52091608688831
2015-07,-15.771865391784578
2015-08,-15.346448553481506
2015-09,-5.9193731722912535
2015-10,17.10164051970702
2015-11,6.2075221779242185
2015-12,5.334694861964007
2016-01,-27.557180861300836
2016-02,-2.6861913048833452
2016-03,16.43022543014565
2016-04,-1.8601093419717052
2016-05,-0.4634160645049512
2016-06,3.4699851044972085
2016-07,0.5268778503506377
2016-08,4.725805742378308
2016-09,-1.7347421308850697
2016-10,3.1544288452572733
2016-11,3.9409315125718436
2016-12,-5.3595768901968714
2017-01,-0.2530981854889425
2017-02,3.1579353308203384
2017-03,-0.5822323585681022
2017-04,-2.936876631863039
2017-05,-2.838649264134152
2017-06,4.80252136923045
2017-07,1.6138224140683777
2017-08,3.0501730376899294
2017-09,1.2790661771848733
2017-10,1.1056714719000826
2017-11,-2.951474623431416
2017-12,-0.2693246446989539
